"","var","nobs","mean","wSD","bSD","ICC","min","max"
"1","df.1_M_nerv","3824","27.36","19.94","16.02","0.36","2.86","79.05"
"2","df.1_M_nieder","3826","19.45","17.3","15.6","0.4","1.43","72.62"
"3","df.1_M_bekuem","3825","23.02","18.23","16.89","0.42","2.14","76.19"
"4","df.2_ANGRY","5678","13.52","13.67","9.59","0.28","0.48","64.41"
"5","df.2_SAD","5676","17.26","14.82","12.81","0.37","1","64.8"
"6","df.2_ANX","5677","12.63","11.46","10.74","0.39","0.64","54.21"
"7","df.2_DEPRE","5677","16.27","12.7","14.93","0.5","1.55","56.86"
"8","df.3_kwaad","12289","11.93","12.87","8.22","0.24","0.94","64.4"
"9","df.3_droevig","12289","13.16","13.02","9.41","0.29","0.89","62.98"
"10","df.3_angstig","12289","10.34","9.92","8.11","0.33","0.85","53.06"
"11","df.3_depressief","12289","12.68","12.01","9.83","0.33","0.94","57.21"
"12","df.3_stress","12289","23.31","19.69","11.66","0.24","1.32","78.71"
"13","df.3_lonely","12289","17.88","16.58","13.29","0.34","1.12","69.43"
