"","source","moment_NA_bray.bal.succw","person_CESD","Test Estimate","Std. Error","t value","df","Pr(>|t|)","l95ci","u95ci"
"1","DF1","-0.202976","sstest",46.3162358668994,9.26243165323744,5.00044023004594,66,4.48156642149492e-06,28.161869826554,64.4706019072448
"2","DF1","0","sstest",40.7007160622241,8.25187437266603,4.93229952664372,66,5.78570811328695e-06,24.5270422917987,56.8743898326495
"3","DF1","0.202976","sstest",35.0851035525022,7.79451592719841,4.50125496954535,66,2.81390696719047e-05,19.8078523351933,50.3623547698111
"4","DF1","sstest","0.158222",0.32205778218747,1.88664606785282,0.170703868454777,2860,0.864468695826028,-3.37576851080405,4.01988407517899
"5","DF1","sstest","0.310179",-3.88203072127663,1.5421755772018,-2.51724302904626,2860,0.0118819661281565,-6.90469485259216,-0.859366589961092
"6","DF1","sstest","0.462135",-8.08612649977257,2.64657043668957,-3.05532261211494,2860,0.00226892992666856,-13.2734045556841,-2.898848443861
"7","DF2","-0.205409","sstest",39.0568716920246,7.45822239842014,5.23675342536018,90,1.0641931857809e-06,24.4387557911212,53.6749875929281
"8","DF2","0","sstest",32.5999181437155,6.1075259123835,5.33766350096306,90,6.98879435452755e-07,20.6291673554438,44.5706689319871
"9","DF2","0.205409","sstest",26.1485416786828,5.24702463990467,4.98349893000652,90,3.0056125684082e-06,15.8643733844696,36.4327099728959
"10","DF2","sstest","0.087355",1.06727595559642,1.23977879656269,0.86085998450325,4551,0.389360513229459,-1.36269048566646,3.49724239685929
"11","DF2","sstest","0.246529",-3.97941141228076,1.33308644108232,-2.98511130984867,4551,0.00284983424126576,-6.59226083680211,-1.3665619877594
"12","DF2","sstest","0.405703",-9.03152473131913,2.55955014468223,-3.52855940333234,4551,0.000421957159300186,-14.0482430148963,-4.01480644774197
"13","DF3","-0.19003","sstest",29.851868934764,5.00790426004601,5.96095040652588,197,1.14005257363575e-08,20.0363765850738,39.6673612844542
"14","DF3","0","sstest",24.3031930248693,4.21666802715552,5.76360122930136,197,3.13638145392207e-08,16.0385236916445,32.5678623580941
"15","DF3","0.19003","sstest",18.753846157382,3.63313863834346,5.16188563779468,197,5.95099590845036e-07,11.6328944262288,25.8747978885352
"16","DF3","sstest","0.081658",-0.432045493937634,0.895814887420411,-0.482293272867738,9793,0.629608404546282,-2.18784267328164,1.32375168540637
"17","DF3","sstest","0.209219",-4.1514348235754,0.779373925301015,-5.32662780830396,9793,1.0227211121664e-07,-5.67900771716539,-2.62386192998541
"18","DF3","sstest","0.33678",-7.88157109740859,1.27680773855618,-6.1728722809286,9793,6.97197780176721e-10,-10.3841142649787,-5.37902792983847
